,StartDate,EndDate,Status,IPAddress,Progress,Duration(inseconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1,Q2.2,Q2.3,Q2.4,Q2.4_TEXT,Q2.5,Q2.6,Q2.7
0,2020-07-21 13:12:00,2020-07-21 13:24:00,IP Address,216.3. 128.12,100,709,True,2020-07-15 17:24:00,R_1OBOhd7co11LcpK,,,,,34.228302,-77.95189667,anonymous,EN,Pizza,5,Favorite series of all time,Cookies n' Cream,,27,Maine,United States
1,2020-07-21 15:10:00,2020-07-21 15:21:00,IP Address,216.3. 128.13,100,668,True,2020-07-22 08:33:00,R_2P7mSdVQh5CNC1r,,,,,33.69880676,-78.91600037,anonymous,EN,Pizza,4,Mega,Vanilla,,30,SC,US
2,2020-07-21 15:18:00,2020-07-21 15:26:00,IP Address,216.3. 128.14,100,505,True,2020-07-22 08:33:00,R_1FmuLhj9DIrUYLR,,,,,33.69880676,-78.91600037,anonymous,EN,Salad,2,Harry Potter is a boy child and an annoying character.,Grapenut,,37,,United States
3,2020-07-21 15:07:00,2020-07-21 15:35:00,IP Address,216.3. 128.15,100,1635,True,2020-07-22 08:33:00,R_1NDh7ut0JEZnX0k,,,,,32.71470642,-79.95259857,anonymous,EN,Salad,4,I dressed up and went to the final book release in costume...,Chocolate,,29,OH,USA
4,2020-07-21 15:07:00,2020-07-21 15:35:00,IP Address,216.3. 128.16,100,668,True,2020-07-22 08:33:00,R_1000,,,,,33.836082,-81.163727,anonymous,EN,Pizza,3,"I've read all the books, but not seen all the movies.",Chocolate,,41,South Carolina,United States
5,2020-07-21 15:07:00,2020-07-21 15:35:00,IP Address,216.3. 128.17,100,505,True,2020-07-22 08:33:00,R_1001,,,,,33.836082,-81.163727,anonymous,EN,Pizza,4,They hold a lot of nostalgia value,vanilla,,34,South Carolina,United States of America
6,2020-07-21 15:07:00,2020-07-21 15:35:00,IP Address,216.3. 128.18,100,1635,True,2020-07-22 08:33:00,R_1002,,,,,33.836082,-81.163727,anonymous,EN,Cake,5,"I have read Harry Potter over 100 times, I love it!",Chocolate,,26,Pennsylvania,United States
7,2020-07-21 15:07:00,2020-07-21 15:35:00,IP Address,216.3. 128.19,100,1903,True,2020-07-22 08:33:00,R_1003,,,,,33.836082,-81.163727,anonymous,EN,Cake,5,I identify as a Hufflepuff before anything else.,Other,moose tracks,21,South Carolina,United States
8,2020-07-21 15:07:00,2020-07-21 15:35:00,IP Address,216.3. 128.20,100,2386.5,True,2020-07-22 08:34:00,R_1004,,,,,33.836082,-81.163727,anonymous,EN,Pizza,43,Read all the books when they came out,Cookies n' Cream,,30,NY,USA
9,2020-07-21 15:07:00,2020-07-21 15:35:00,IP Address,216.3. 128.21,100,2870,True,2020-07-22 08:34:00,R_1005,,,,,33.836082,-81.163727,anonymous,EN,Pizza,3,It's alright,Cookies n' Cream,,19,South Carolina,United States
10,2020-07-21 15:07:00,2020-07-21 15:35:00,IP Address,216.3. 128.22,100,3353.5,True,2020-07-22 08:34:00,R_1006,,,,,33.836082,-81.163727,anonymous,EN,Pizza,4,I started reading the books at age ten and have read them three more times since.,Vanilla,,20,New York,United States
