Date,high,low,avg_high,avg_low
5/1/2019,88,64,80,56
5/2/2019,86,62,80,56
5/3/2019,83,66,81,56
5/4/2019,91,67,81,57
5/5/2019,86,67,81,57
5/6/2019,84,65,82,57
5/7/2019,84,65,82,58
5/8/2019,86,64,82,58
5/9/2019,78,61,82,58
5/10/2019,84,66,82,58
5/11/2019,85,65,83,59
5/12/2019,77,67,83,59
5/13/2019,83,65,83,59
5/14/2019,75,53,84,60
5/15/2019,77,50,84,60
5/16/2019,85,58,84,60
5/17/2019,91,64,84,61
5/18/2019,94,66,84,61
5/19/2019,91,68,85,61
5/20/2019,93,72,85,62
5/21/2019,94,67,85,62
5/22/2019,93,71,85,62
5/23/2019,92,70,86,63
5/24/2019,96,71,86,63
5/25/2019,101,72,86,63
5/26/2019,99,73,86,64
